smiles,compound_set,template,hit1,hit2
Nc1ccc(F)cc1C(=O)c1nccn1CC(F)(F)F,cx0294a-cx0585a,cx0300a,cx0585a,cx0294a
Cc1cn2c(c1O)-c1c(N)ccc(F)c1OCC(F)(F)C2,cx0294a-cx0505a,cx0300a,cx0294a,cx0505a
FC(F)(F)Cc1ccc2[nH]c3c(c2c1)C#CC3,cx0294a-cx1183a,cx0300a,cx0294a,cx1183a
NC(=O)c1cc2scc(C(=O)N[C@@H]3CCC(=O)NC3)c2cc1N,cx0300a-cx1372a,cx0300a,cx1372a,cx0300a
CN(C(=O)c1cn[nH]c1)[C@H]1CC(=O)NC[C@@H]1NC(=O)c1cscn1,cx0300a-cx0732a,cx0300a,cx0732a,cx0300a
O=C(N[C@H]1CNC(=O)c2ccc(Cn3cnc4ccccc43)cc21)c1cscn1,cx0300a-cx0620a,cx0300a,cx0620a,cx0300a
O=C1CC[C@@H](NC(=O)[C@@H]2CS[C@@]3(N2)C2=C(CC[C@H]3O)OCO2)CN1,cx0300a-cx1305a,cx0300a,cx1305a,cx0300a
N[C@H]1C[C@@]2(CCN1)N[C@H](C(=O)N[C@@H]1CCC(=O)NC1)CS2,cx0300a-cx1440a,cx0300a,cx1440a,cx0300a
Cn1nccc1C(=O)c1cscc1[C@](O)(N[C@@H]1CCC(=O)NC1)c1cccs1,cx0300a-cx0892a,cx0300a,cx0892a,cx0300a
CN[C@H]1NCCC[C@@]12N[C@H](C(=O)N[C@@H]1CCC(=O)NC1)CS2,cx0300a-cx0353a,cx0300a,cx0353a,cx0300a
O=C1CC[C@@H](NC(=O)[C@@H]2CS[C@@]3(N2)C2=C(CC[C@H]3CO)OCC2)CN1,cx0300a-cx0969a,cx0300a,cx0969a,cx0300a
O=C1C[C@H](N2CCN[C@H](CC3CCCCC3)C2=O)[C@@H](NC(=O)c2cscn2)CN1,cx0300a-cx0436a,cx0300a,cx0436a,cx0300a
Nc1nccc(-c2nc(C(=O)N[C@@H]3CCC(=O)NC3)cs2)n1,cx0300a-cx1132a,cx0300a,cx0300a,cx1132a
O=C1CC[C@@H](NC(=O)c2cscn2)CC1=O,cx0300a-cx1131a,cx0300a,cx0300a,cx1131a
Cc1n[nH]c(C)c1-c1nc(C(=O)N[C@@H]2CCC(=O)NC2)cs1,cx0300a-cx1417a,cx0300a,cx0300a,cx1417a
CNC(=O)C1=C2N=CC=C2C=S2C=C(C(=O)N[C@@H]3CCC(=O)NC3)N=C12,cx0300a-cx0399a,cx0300a,cx0300a,cx0399a
CN(C)C(=O)CN[C@@H]1CCCCc2c(O)csc21,cx0721a-cx1372a,cx0300a,cx1372a,cx0721a
COC[C@@H](C)n1c(N)nc2ccccc21,cx1299a-cx1278a,cx0300a,cx1278a,cx1299a
NC(=O)c1ccc(C(=O)N[C@@H]2CCC(=O)NC2)cc1O,cx1445a-cx0300a,cx0300a,cx0300a,cx1445a
CN(C(=O)COc1cccc(F)c1)[C@H]1CNC(=O)CN1,cx1131a-cx0540a,cx0300a,cx0540a,cx1131a
Cc1nsc(N[C@@H]2C[C@@]3(CNCC[C@H]3CCNC(=O)c3ccccc3F)C[C@H]2CO)n1,cx0406a-cx0824a,cx0300a,cx0824a,cx0406a
CC(C)c1c(N)ncc2c1-c1n[nH]cc1CCC2,cx0756a-cx1299a,cx0300a,cx1299a,cx0756a
c1cc2c(ccc3c[nH]nc32)cn1,cx0756a-cx1288a,cx0300a,cx1288a,cx0756a
CN(C(=O)c1ccc(O)cc1)c1nc(Cn2ccccc2=O)no1,cx1316a-cx0316a,cx0300a,cx1316a,cx0316a
CCOc1c(O)ccc2nn(N)c(C)c12,cx1417a-cx1410a,cx0300a,cx1410a,cx1417a
Cc1n[nH]c(C)c1-c1nc(C(=O)N[C@@H]2CC[C@H](O)NC2)cs1,cx1417a-cx0300a,cx0300a,cx0300a,cx1417a
CCOc1c(O)ccc2nn(N)c(CC)c12,cx1417a-cx1299a,cx0300a,cx1299a,cx1417a
CC[C@H]1CCCCc2c1c(C)nn2O,cx1417a-cx1445a,cx0300a,cx1445a,cx1417a
CCO/C(=N\[C@H]1CCC[C@H]1CO)c1c(C)n[nH]c1C,cx1417a-cx0406a,cx0300a,cx0406a,cx1417a
CCOC(=O)c1c(CCc2nc(Cn3ccccc3=O)no2)n[nH]c1C,cx1417a-cx0316a,cx0300a,cx1417a,cx0316a
CCOC(=O)c1c(C(N)=O)n[nH]c1C,cx1417a-cx1268a,cx0300a,cx1417a,cx1268a
C[C@H]1CCCc2ccc3cc[nH]c3c2[C@H]1O,cx0399a-cx1338a,cx0300a,cx1338a,cx0399a
CN/C(=N/N)c1cc(COC)cc2cc[nH]c12,cx0399a-cx0404a_copy,cx0300a,cx0404a,cx0399a
CNC(=O)c1c2c(cc3c1=NC=C3)=CC(C(=O)N[C@@H]1CCC(=O)NC1)=N2,cx0399a-cx0300a,cx0300a,cx0300a,cx0399a
Cc1cc2ccccc2nc1N,cx1454a-cx1203a,cx0300a,cx1203a,cx1454a
C#Cc1c(C)nc(N)c(C)c1CC(N)=O,cx1454a-cx0553a,cx0300a,cx0553a,cx1454a
Cc1nc(N)ccc1O[C@@H]1CCC[C@H]1CO,cx1454a-cx0406a,cx0300a,cx0406a,cx1454a
O=C1C(CCO)=CC2=C1CC[C@H](Cn1cnc3ccccc31)C2,cx1091a-cx0620a,cx0300a,cx0620a,cx1091a
CCN1c2cc(=O)n(CCO)cc2N(C)C(=O)c2cccnc21,cx1091a-cx0522a,cx0300a,cx0522a,cx1091a
CC(C)(C(=O)COc1cccc(F)c1)c1ccn(CCO)c(=O)c1,cx1091a-cx0540a,cx0300a,cx0540a,cx1091a
O=C(Nc1cn(CCO)c(=O)cc1Br)c1cscn1,cx1091a-cx0300a,cx0300a,cx0300a,cx1091a
CCc1nc(Cn2ccc(Br)cc2=O)no1,cx1091a-cx0316a,cx0300a,cx1091a,cx0316a
O=c1ccccn1Cc1noc(CCc2nc3ccccc3[nH]2)n1,cx0316a-cx1444a,cx0300a,cx1444a,cx0316a
CCc1nc(Cn2cc(C)c(Cc3cnn(-c4ccccc4)c3)cc2=O)no1,cx0316a-cx0632a,cx0300a,cx0632a,cx0316a
CCc1nc(Cn2cc(C(=O)Nc3cnccc3C)ccc2=O)no1,cx0316a-cx0305a,cx0300a,cx0305a,cx0316a
C[C@@H](CCc1nc(Cn2ccccc2=O)no1)C(N)=NO,cx0316a-cx1134a,cx0300a,cx1134a,cx0316a
C[C@@H](c1nc(Cn2ccccc2=O)no1)c1cnc(N)c2ccccc12,cx0316a-cx1440a,cx0300a,cx1440a,cx0316a
CCc1nc(CN2CC[C@@]3(CCN(C(=O)c4cccc(F)c4)C3)CC2=O)no1,cx0316a-cx0585a,cx0300a,cx0585a,cx0316a
C[C@H]1c2onc(Cn3ccccc3=O)c2O[C@@]12CC[C@@H]1N[C@H](N)S[C@@H]1C2,cx0316a-cx1410a,cx0300a,cx1410a,cx0316a
C[C@@H](c1nc(Cn2ccccc2=O)no1)c1cnc(N)cc1Br,cx0316a-cx1075a,cx0300a,cx1075a,cx0316a
CN(CC(N)=O)c1snc(CCc2nc(Cn3ccccc3=O)no2)c1C#N,cx0316a-cx0553a,cx0300a,cx0553a,cx0316a
CCc1nc(Cn2c(NC(=O)c3cscn3)cccc2=O)no1,cx0316a-cx0300a,cx0300a,cx0300a,cx0316a
C[C@H](c1ccc(N)nc1)c1nc(Cn2ccccc2=O)no1,cx0316a-cx1454a,cx0300a,cx1454a,cx0316a
CCc1nc(CN2CC[C@@]3(CC2=O)[C@@H](C)Oc2c(F)cccc2N3C(C)=O)no1,cx0316a-cx0505a,cx0300a,cx0316a,cx0505a
On1cnc2c(Cl)cccc21,cx0894a-cx1305a,cx0300a,cx1305a,cx0894a
O=C1CC[C@@H](NC(=O)c2csc3c(cc(Cl)c4ncnc43)n2)CN1,cx0894a-cx0300a,cx0300a,cx0300a,cx0894a
On1cnc2cccc(Cl)c21,cx0894a-cx1445a,cx0300a,cx1445a,cx0894a
OC[C@@H]1CCC[C@H]1Nc1ccc2[nH]cnc2c1Cl,cx0894a-cx0406a,cx0300a,cx0406a,cx0894a
Nc1nc(S(N)(=O)=O)n2c1cnn2CCO,cx1268a-cx0477a,cx0300a,cx0477a,cx1268a
O=c1ccccn1Cc1noc(Cc2ncc[nH]2)n1,cx1268a-cx0316a,cx0300a,cx0316a,cx1268a
CC(=O)N1c2cccc(F)c2C(=O)[C@H](C)[C@H]1C,cx0505a-cx0760a,cx0300a,cx0760a,cx0505a
CC(=O)N1c2cccc(F)c2O[C@H](C)[C@H]1c1cccc(O)n1,cx0505a-cx1118a,cx0300a,cx1118a,cx0505a
Nc1cc2ccccc2c(Cc2cccs2)c1O,cx1431a-cx0892a,cx0300a,cx0892a,cx1431a
Nc1cnc2c(Br)cccc2c1,cx1431a-cx1076a,cx0300a,cx1076a,cx1431a
CNC(=O)c1cn(CC(=O)N(C)C)c2ccccc12,cx0270a-cx0312a,cx0270a,cx0312a,cx0270a
CNC(=O)c1cn(C)c2ccc(N)cc12,cx0270a-cx1260a,cx0270a,cx1260a,cx0270a
CNC(=O)c1cn(C)c2cc(Cl)ccc12,cx0270a-cx0894d,cx0270a,cx0894d,cx0270a
CNC(=O)c1cn(C)c2c(Cl)c3nc[nH]c3cc12,cx0270a-cx0894e,cx0270a,cx0894e,cx0270a
Cn1cc(C(=O)NCS(=O)(=O)c2ncc[nH]2)c2ccccc21,cx0270a-cx1268a,cx0270a,cx0270a,cx1268a
Cn1cc(CNCc2cccc3ccc(N)nc23)c2ccccc21,cx0270a-cx1338a,cx0270a,cx1338a,cx0270a
CNC(=O)c1cn(C)c2c(O)c(C(N)=O)ccc12,cx0270a-cx1445d,cx0270a,cx1445d,cx0270a
Nc1ccc(S(=O)(=O)Nc2ccc3cc(-c4ccn[nH]4)c[nH]c2-3)cc1,cx0289a-cx0864d,cx0270a,cx0289a,cx0864d
N[C@H]1C=C[C@@H]2C1=CCCO[C@H]2CNc1ccccn1,cx0289a-cx0969a,cx0270a,cx0289a,cx0969a
Nc1ccc(S(=O)(=O)Nc2[nH]c(N)c3ccccc23)cc1,cx0289a-cx1271d,cx0270a,cx0289a,cx1271d
Nc1ccc(S(=O)(=O)Nc2cccc(N)n2)cc1,cx0289a-cx1353b,cx0270a,cx0289a,cx1353b
NC(=O)c1cc(Cl)cc(NS(=O)(=O)c2ccc(N)cc2)n1,cx0289a-cx1371b,cx0270a,cx0289a,cx1371b
Nc1ccc(S(=O)(=O)N[C@H]2CC3=C(O[CH][CH]O3)[C@@H](CO)N2)cc1,cx0289a-cx1379b,cx0270a,cx0289a,cx1379b
Nc1ccc(S(=O)(=O)N[C@H]2CC3=C(CN2)NC[C@H]3N)cc1,cx0289a-cx1431d,cx0270a,cx0289a,cx1431d
Nc1ccc(S(=O)(=O)Nc2cc3ccccc3c(N)n2)cc1,cx0289a-cx1440b,cx0270a,cx0289a,cx1440b
Nc1ccc2c3c(cccc13)NCO[S@@H]2Nc1ccccn1,cx0289a-cx1444a,cx0270a,cx0289a,cx1444a
NC(=O)c1cnc(NS(=O)(=O)c2ccc(N)cc2)cc1O,cx0289a-cx1445b,cx0270a,cx0289a,cx1445b
CN(C)C(=O)Cn1ncc2c(NS(=O)(=O)c3ccc(N)cc3)cccc21,cx0312a-cx0289a,cx0270a,cx0289a,cx0312a
C[C@@H](C1=NC=c2ccc3c(c21)N=CC=3)C(O)(O)N(C)C,cx0312a-cx0399d,cx0270a,cx0399d,cx0312a
CN(C)C(=O)Cn1nc(CNc2ccc(O)cc2)c2ccccc21,cx0312a-cx0935a,cx0270a,cx0935a,cx0312a
CNNCc1cccc(NCCCN(C)C)c1,cx0312a-cx1213b,cx0270a,cx0312a,cx1213b
C[N@+]([O-])(Nc1ccccn1)c1nccc2ccc(N)cc12,cx0353a-cx0289a,cx0270a,cx0289a,cx0353a
COCC(=O)N[C@H]1C[C@@H]2CC[C@@]3(NN(C)C[C@@]13C(N)=O)[C@H]2F,cx0394a-cx0692a,cx0270a,cx0692a,cx0394a
COCC(=O)N[C@@H]1CC[C@@H](O)C2=C1CN(C)N2,cx0394a-cx0935a,cx0270a,cx0935a,cx0394a
CCc1cc[nH]c1[C@@H]1C[C@@H](CCCN)[C@](C)(Nc2ccccn2)C1=O,cx0399a-cx0289a,cx0270a,cx0289a,cx0399a
CNC(=O)c1cn(C)c2c(C(=O)NC)cccc12,cx0399b-cx0270a,cx0270a,cx0399b,cx0270a
CNC(=O)C1=CN(C)N=c2c(C(=O)NC)cccc2=C1,cx0399f-cx0270a,cx0270a,cx0270a,cx0399f
CNC(=O)c1cccc2cc(Cl)[nH]c12,cx0399f-cx0894b,cx0270a,cx0894b,cx0399f
CNC(=O)c1cccc2c(O)c(C(=O)Nc3ccc(O)cc3)[nH]c12,cx0399f-cx0935a,cx0270a,cx0935a,cx0399f
COCC(=O)N[C@H]1CCCC[C@@]12[C@@H](COC)ON[C@H]2C(N)=O,cx0404a-cx0692a,cx0270a,cx0692a,cx0404a
COCC(=O)Nc1sc(N[C@@H]2CCC[C@H]2CO)nc1C,cx0406a-cx0935a,cx0270a,cx0935a,cx0406a
COCC(=O)N[C@H]1CCCC[C@]12NCCc1ccccc12,cx0692a-cx0353a,cx0270a,cx0692a,cx0353a
CNC(=O)c1cccc2c(C(=O)Nc3ccccc3)c[nH]c12,cx0692a-cx0399b,cx0270a,cx0692a,cx0399b
O=C(Nc1ccccc1)c1c(-c2ccn[nH]2)cc2c(c1O)OCO2,cx0692a-cx0864b,cx0270a,cx0692a,cx0864b
O[C@@H]1Oc2cc(-c3ccn[nH]3)ccc2N1Nc1ccccc1,cx0692a-cx0864d,cx0270a,cx0692a,cx0864d
COCC(=O)Nc1cccc(C(=O)NCc2cccs2)c1,cx0692a-cx0892a,cx0270a,cx0692a,cx0892a
COCC(=O)N[C@H]1CCCC[C@]12CCC[C@H](CO)C2,cx0692a-cx0969a,cx0270a,cx0692a,cx0969a
O=C(Nc1ccccc1)c1c(CO)cc2c(c1O)OCC2,cx0692a-cx0969f,cx0270a,cx0692a,cx0969f
COCC(=O)Nc1ccccc1N,cx0692a-cx1116a,cx0270a,cx0692a,cx1116a
Cc1cccc(O)c1Nc1ccccc1,cx0692a-cx1116c,cx0270a,cx0692a,cx1116c
COCC(=O)N1C[C@H](/C(N)=N/O)c2ccccc21,cx0692a-cx1134a,cx0270a,cx0692a,cx1134a
COCC(=O)N[C@@H]1CCCC[C@@]12CCCNC2,cx0692a-cx1213a,cx0270a,cx0692a,cx1213a
COCC(=O)N[C@@H]1CCCC[C@]12CNC[C@@H]2C(=O)OC,cx0692a-cx1278a,cx0270a,cx0692a,cx1278a
COCC(=O)N[C@H]1CCCC[C@@]12c1c(ncn1C)N(C)C(=O)N2C,cx0692a-cx1298a,cx0270a,cx1298a,cx0692a
NC(=O)c1ccc(C(=O)Nc2ccccc2)c(Cl)c1,cx0692a-cx1371b,cx0270a,cx0692a,cx1371b
O=C(Nc1ccccc1)c1ccc(CO)c2c1OCCO2,cx0692a-cx1379e,cx0270a,cx0692a,cx1379e
COCC(=O)N[C@H]1CCCCC12CCCCC2,cx0692a-cx1444a,cx0270a,cx1444a,cx0692a
CN(C)[C@@]1(O)C[S@]1(C)CC[C@@H]1C=C(NCS)[C@@]1(O)Nc1ccccn1,cx0721a-cx0289a,cx0270a,cx0289a,cx0721a
COCC(=O)NC[C@H]1CCCC2=C1NCS2,cx0721a-cx0692a,cx0270a,cx0692a,cx0721a
CNc1cnc2ccc(NS(=O)(=O)c3ccc(N)cc3)cc2n1,cx0839e-cx0289a,cx0270a,cx0839e,cx0289a
c1ccc(NOc2oc3c4c2CC[C@H]2Nc5cn[nH]c5[C@H](CC3)C2O4)nc1,cx0864a-cx0289a,cx0270a,cx0289a,cx0864a
COCC(=O)NN1COc2ccc(-c3ccn[nH]3)cc21,cx0864a-cx0692a,cx0270a,cx0864a,cx0692a
Nc1ccc(S(=O)(=O)NN2COc3cc(-c4ccn[nH]4)ccc32)cc1,cx0864d-cx0289a,cx0270a,cx0289a,cx0864d
CNC(=O)c1c(-c2cc[nH]n2)ccc2c1OCO2,cx0864d-cx0399f,cx0270a,cx0864d,cx0399f
O[C@@H]1Oc2cc(-c3ccn[nH]3)ccc2N1Nc1ccccc1,cx0864d-cx0692a,cx0270a,cx0692a,cx0864d
OCN1COc2ccc(-c3ccn[nH]3)cc21,cx0864d-cx0969b,cx0270a,cx0864d,cx0969b
Nc1c(-c2ccn[nH]2)ccc2c1OCO2,cx0864d-cx1116c,cx0270a,cx1116c,cx0864d
NN1COc2ccc(-c3ccn[nH]3)cc21,cx0864d-cx1271f,cx0270a,cx1271f,cx0864d
Oc1cc2c(cc1-c1ccn[nH]1)OCO2,cx0864d-cx1305b,cx0270a,cx0864d,cx1305b
NN1COc2ccc(-c3ccn[nH]3)cc21,cx0864d-cx1431d,cx0270a,cx1431d,cx0864d
Cn1cc(C(=O)NCn2nccc2C(=O)NCc2cccs2)c2ccccc21,cx0892a-cx0270a,cx0270a,cx0892a,cx0270a
CNC(=O)c1cccc2cc(N)ccc12,cx1260a-cx0270a,cx0270a,cx1260a,cx0270a
CNC(=O)[C@H]1CCC2=C1c1cccnc1CC2,cx1260a-cx0399f,cx0270a,cx1260a,cx0399f
Nc1cc2c3c(cccc3c1)CC(Nc1ccc(O)cc1)C2,cx1260a-cx0935a,cx0270a,cx1260a,cx0935a
Nc1cc([S@](=O)Nc2ccccn2)c2nc[nH]c2c1Cl,cx0894a-cx0289a,cx0270a,cx0289a,cx0894a
Nc1ccc(S(=O)(=O)Nc2ccc3nc[nH]c3c2Cl)cc1,cx0894b-cx0289a,cx0270a,cx0289a,cx0894b
Nc1ccc(S(=O)(=O)Nn2cnc3c(Cl)cccc32)cc1,cx0894d-cx0289a,cx0270a,cx0289a,cx0894d
O=C(Nc1ccccc1)c1cc(Cl)c2nc[nH]c2c1,cx0894e-cx0692a,cx0270a,cx0692a,cx0894e
COCC(=O)Nc1ccc(O)c(-c2nc(C(=O)N[C@@H]3CCC(=O)NC3)cs2)c1,cx0935a-cx0300a,cx0270a,cx0935a,cx0300a
CN(C)C(=O)Cn1nc(CNc2ccc(O)cc2)c2ccccc21,cx0935a-cx0312a,cx0270a,cx0935a,cx0312a
COCC(=O)N[C@H]1CC[C@@H](O)C[C@@]12[C@@H](COC)ON[C@H]2C(N)=O,cx0935a-cx0404a,cx0270a,cx0935a,cx0404a
COCC(=O)N[C@H]1CC[C@@H](O)[C@@]2(C1)[C@@H](C(N)=O)CNN2CCO,cx0935a-cx0477a,cx0270a,cx0935a,cx0477a
COCC(=O)Nc1ccc(O)c(C#N)c1N(C)CC(N)=O,cx0935a-cx0553a,cx0270a,cx0935a,cx0553a
COCC(=O)N[C@H]1CC[C@@H](O)C[C@]12CNCC[C@H]2c1n[nH]cc1C,cx0935a-cx0756a,cx0270a,cx0935a,cx0756a
CN[C@H]1CNC[C@]2(C[C@H](O)CC[C@@H]2NC(=O)COC)N1,cx0935a-cx0839a,cx0270a,cx0935a,cx0839a
COCC(=O)N[C@H]1CC[C@@H](O)C[C@]12CCC[C@H](c1ccn[nH]1)C2,cx0935a-cx0864a,cx0270a,cx0864a,cx0935a
Oc1ccc(NN2COc3cc(-c4ccn[nH]4)ccc32)cc1,cx0935a-cx0864d,cx0270a,cx0935a,cx0864d
COCC(=O)N[C@H]1CC[C@@H](O)C[C@]12CCC[C@H](CO)C2,cx0935a-cx0969a,cx0270a,cx0935a,cx0969a
OCc1cc2c(cc1CNc1ccc(O)cc1)OCC2,cx0935a-cx0969b,cx0270a,cx0935a,cx0969b
COCC(=O)Nc1ccc(O)c(Br)c1N,cx0935a-cx1075a,cx0270a,cx0935a,cx1075a
COCC(=O)Nc1ccc(O)cc1N,cx0935a-cx1116a,cx0270a,cx0935a,cx1116a
Cc1cccc(O)c1Nc1ccc(O)cc1,cx0935a-cx1116c,cx0270a,cx0935a,cx1116c
COc1ccccc1C(=O)Nc1ccc(O)cc1,cx0935a-cx1118g,cx0270a,cx0935a,cx1118g
Oc1ccc(Nc2ccncc2O)cc1,cx0935a-cx1132f,cx0270a,cx0935a,cx1132f
COc1c(Nc2ccc(O)cc2)cnc2c1NCCC2,cx0935a-cx1213b,cx0270a,cx0935a,cx1213b
Cc1c[nH]c2cccc(C(=O)Nc3ccc(O)cc3)c12,cx0935a-cx1271d,cx0270a,cx0935a,cx1271d
COCC(=O)N[C@H]1CC[C@@H](O)C[C@]12CNC[C@@H]2C(=O)OC,cx0935a-cx1278a,cx0270a,cx0935a,cx1278a
COCC(=O)Nc1ccc(O)c2ccc(N)nc12,cx0935a-cx1338a,cx0270a,cx1338a,cx0935a
Nc1ccc2c(CNc3ccc(O)cc3)cccc2n1,cx0935a-cx1338c,cx0270a,cx0935a,cx1338c
COCC(=O)Nc1ccc(O)cc1N,cx0935a-cx1353a,cx0270a,cx0935a,cx1353a
COCC(=O)Nc1ccc(O)c(Cl)c1C(N)=O,cx0935a-cx1372a,cx0270a,cx1372a,cx0935a
COCC(=O)N[C@H]1CC[C@@H](O)C[C@]12CCCC[C@@H]2CO,cx0935a-cx1379a,cx0270a,cx0935a,cx1379a
CN1c2cccc(CO)c2O[C@H](O)[C@H]1Nc1ccc(O)cc1,cx0935a-cx1379g,cx0270a,cx0935a,cx1379g
Oc1ccc(Nn2cccc3ccnc2-3)cc1,cx0935a-cx1402b,cx0270a,cx1402b,cx0935a
O=C(Nc1ccc(O)cc1)c1ccc2ccnc-2n1O,cx0935a-cx1402f,cx0270a,cx0935a,cx1402f
Oc1ccc(Nc2ncc3ccccc3c2O)cc1,cx0935a-cx1440b,cx0270a,cx0935a,cx1440b
COCC(=O)N[C@H]1CC[C@@H](O)CC12CCCCC2,cx0935a-cx1444a,cx0270a,cx1444a,cx0935a
COCC(=O)N[C@@H]1COc2ccc(CO)cc21,cx0969a-cx0692a,cx0270a,cx0692a,cx0969a
COCC(=O)N[C@H]1c2cc(CO)ccc2O[C@@H]1O,cx0969a-cx0935a,cx0270a,cx0935a,cx0969a
Nc1ccc(S(=O)(=O)Nc2cc(CO)cc3c2OCC3)cc1,cx0969b-cx0289a,cx0270a,cx0289a,cx0969b
Nc1ccc(S(=O)(=O)Nc2cc(CO)cc3c2OCC3)cc1,cx0969d-cx0289a,cx0270a,cx0289a,cx0969d
C1CNC2=C(C1)C1=C(CC2)OCC1,cx0969d-cx1260a,cx0270a,cx1260a,cx0969d
OCc1cc2c(c(Nc3ccc(O)cc3)c1O)OCC2,cx0969d-cx0935a,cx0270a,cx0935a,cx0969d
N[C@@H]1COc2ccc(CO)cc21,cx0969d-cx1440f,cx0270a,cx1440f,cx0969d
O=C(Nc1ccccc1)c1c(CO)cc2c(c1O)OCC2,cx0969f-cx0692a,cx0270a,cx0692a,cx0969f
OCc1cc2c(c(Nc3ccc(O)cc3)c1O)OCC2,cx0969f-cx0935a,cx0270a,cx0935a,cx0969f
COCC(=O)Nc1cc(Br)cc(N)n1,cx1075a-cx0692a,cx0270a,cx0692a,cx1075a
COCC(=O)N[C@H]1CCCC[C@]12C(=O)NCC[C@@H]2Br,cx1076a-cx0692a,cx0270a,cx0692a,cx1076a
COCC(=O)N[C@H]1CC[C@@H](O)[C@]12C(=O)NCC[C@@H]2Br,cx1076a-cx0935a,cx0270a,cx0935a,cx1076a
