smiles,hit1_short,hit2_short,inchi_key,compound_set,error_type
NC(=O)Nc1cccc2c1OCc1nsc(N[C@@H]3CCC[C@H]3CO)c1-2,cx0544a,cx0406a,OAICSEFZSKZFMV-GXSJLCMTSA-N,cx0544a-cx0406a,NoSynthesisRoute
CNc1cnc2ccc([C@@H]3CCC[C@H]3CO)cc2n1,cx0839a,cx0406a,GVJBINMCNRNOAI-RYUDHWBXSA-N,cx0839a-cx0406a,NoSynthesisRoute
CN(CC(N)=O)c1snc(CCc2nc(Cn3ccccc3=O)no2)c1C#N,cx0553a,cx0316a,GPZJEEYGFUVZKG-UHFFFAOYSA-N,cx0316a-cx0553a,NoSynthesisRoute
COCC(=O)N[C@H]1CC[C@@H](O)C[C@]12CNC[C@@H]2C(=O)OC,cx0935a,cx1278a,XPKCWEBJKCHHHK-NJBDSQKTSA-N,cx0935a-cx1278a,NoSynthesisRoute
COC[C@H]1ON[C@H]2[C@@H]1CCCN[C@@H]2N,cx0404a,cx1402a,WRBAXNAMZCGYTN-HXFLIBJXSA-N,cx0404a-cx1402a,NoSynthesisRoute
CCOc1c(C)cccc1C(=O)[N+](C)(C)[O-],cx0522a,cx0305a,BQWBETSFXSQZSO-UHFFFAOYSA-N,cx0522a-cx0305a,NoSynthesisRoute
O=C1C[C@@]2(CCN(c3ccccc3F)C2=O)[C@H](CC(=O)c2cscn2)CN1,cx0398a,cx0300a,GALXDKHZCUFLNP-BLVKFPJESA-N,cx0398a-cx0300a,NoSynthesisRoute
Nc1ccc(S(=O)(=O)NN2COc3cc(-c4ccn[nH]4)ccc32)cc1,cx0289a,cx0864d,VUFQTOXRHKYCQJ-UHFFFAOYSA-N,cx0864d-cx0289a,NoSynthesisRoute
C[C@H]1COc2cc(O)c(CO)cc21,cx0969a,cx1316a,VXRYAOWDXSGLEE-LURJTMIESA-N,cx0969a-cx1316a,NoSynthesisRoute
NC(=O)c1cc2scc(C(=O)N[C@@H]3CCC(=O)NC3)c2cc1N,cx1372a,cx0300a,GAXUXENYSQWSMK-SSDOTTSWSA-N,cx0300a-cx1372a,NoSynthesisRoute
Cc1cnc2cnnc-2c2ccc3c(c12)OCO3,cx0864a,cx0756a,YYFHFXCXRBQSCG-UHFFFAOYSA-N,cx0864a-cx0756a,NoSynthesisRoute
CNC(=O)c1cn(C)c2c(O)c(C(N)=O)ccc12,cx1445d,cx0270a,BHSNIPGLENZPPW-UHFFFAOYSA-N,cx0270a-cx1445d,NoSynthesisRoute
Nc1cc(O)cc2c1OCN2F,cx1305a,cx1410a,LYCREJRCENYTSV-UHFFFAOYSA-N,cx1305a-cx1410a,NoSynthesisRoute
NC(=O)c1ccc2c(c1)C[C@@]1(C[C@H]3CCCC[C@H]3C1)NC2,cx0436a,cx0441a,XADHKYPYAQGCKZ-UOIKSKOESA-N,cx0441a-cx0436a,NoSynthesisRoute
CC1=NC(=O)c2c(C)cc(C(=O)N[C@@H]3CCC(=O)NC3)nc21,cx1194a,cx0300a,YWJFGTHZNXFVBZ-SECBINFHSA-N,cx1194a-cx0300a,NoSynthesisRoute
CCOc1c(O)ccc2nn(N)c(CC)c12,cx1299a,cx1417a,ZFLRBPWUUCTPDU-UHFFFAOYSA-N,cx1417a-cx1299a,NoSynthesisRoute
CCCc1ccc(N)c2c1c(C)nn2O,cx1372a,cx1417a,NUNGWDWCSJIJQO-UHFFFAOYSA-N,cx1372a-cx1417a,NoSynthesisRoute
COCC(=O)N[C@H]1CC[C@@H](O)[C@@]2(C1)[C@@H](C(N)=O)CNN2CCO,cx0935a,cx0477a,YQIWVNUMRNXSFL-ICUOPCATSA-N,cx0935a-cx0477a,NoSynthesisRoute
Nc1cc2c3c(cccc3c1)CC(Nc1ccc(O)cc1)C2,cx1260a,cx0935a,VQIBYMODFAYWEL-UHFFFAOYSA-N,cx1260a-cx0935a,NoSynthesisRoute
COC[C@@H](C)n1c(N)nc2ccccc21,cx1278a,cx1299a,SRBKGIOKGZEZBL-MRVPVSSYSA-N,cx1299a-cx1278a,NoSynthesisRoute
N[C@@H](N=O)c1cnn(CCO)c1C(F)F,cx0477a,cx0394a,BPARDJHSZTZNKH-ZETCQYMHSA-N,cx0477a-cx0394a,NoSynthesisRoute
CCc1cc[nH]c1[C@@H]1C[C@@H](CCCN)[C@](C)(Nc2ccccn2)C1=O,cx0289a,cx0399a,IUYJGMKGEWUZKR-GUXCAODWSA-N,cx0399a-cx0289a,NoSynthesisRoute
CN(C)C(=O)c1cccc2c(CO)nc3ccccc3c12,cx0522a,cx1183a,CUONIIGLNBPCDQ-UHFFFAOYSA-N,cx0522a-cx1183a,NoSynthesisRoute
C[C@H](c1cnc2[nH]ccc2c1)c1nc(Cn2ccccc2=O)no1,cx1402a,cx0316a,BWYZNNJKCYGIJJ-LLVKDONJSA-N,cx1402a-cx0316a,NoSynthesisRoute
Oc1ccc(NN2COc3cc(-c4ccn[nH]4)ccc32)cc1,cx0935a,cx0864d,LQNAXKMPRWMOMP-UHFFFAOYSA-N,cx0935a-cx0864d,NoSynthesisRoute
OC[C@@H]1CCC[C@H]1N[C@@H]1N[C@]2(NCCc3ccccc32)NS1,cx0353a,cx0406a,UDYCJHCLGLVBPC-XZDPQHSOSA-N,cx0353a-cx0406a,NoSynthesisRoute
N[C@H]1NCCNC2=C1CCC2,cx1371a,cx1406a,JMUAYQTUOQUXMA-QMMMGPOBSA-N,cx1371a-cx1406a,NoSynthesisRoute
COCC(=O)N1C[C@H](/C(N)=N/O)c2ccccc21,cx0692a,cx1134a,SPMSYTVRNZIFCI-VIFPVBQESA-N,cx0692a-cx1134a,NoSynthesisRoute
N#CCc1nccn1CC(F)(F)OC1=C(CCO)C(=O)N=N1,cx0317a,cx0294a,FOLIGXJSWKWUJI-UHFFFAOYSA-N,cx0294a-cx0317a,NoSynthesisRoute
C[C@@H](CCc1nc(Cn2ccccc2=O)no1)C(N)=NO,cx1134a,cx0316a,DFECMQYPBMNLBU-VIFPVBQESA-N,cx0316a-cx1134a,NoSynthesisRoute
CO[C@@](N)(O)c1cn(CCO)nc1O,cx0477a,cx1316a,VSQQXNFZYOIUOE-ZETCQYMHSA-N,cx0477a-cx1316a,NoSynthesisRoute
CN/C(=N/N)c1cc(COC)cc2cc[nH]c12,cx0404a,cx0399a,MARKGWABDNPQBB-UHFFFAOYSA-N,cx0399a-cx0404a_copy,NoSynthesisRoute
C[C@H](c1ccc(N)nc1)c1nc(Cn2ccccc2=O)no1,cx1116a,cx0316a,DEYCAJGWGSVJCX-SNVBAGLBSA-N,cx1116a-cx0316a,NoSynthesisRoute
CON(C)C(=O)[C@H]1[C@@H](CCCN)C[C@@H]1NN,cx0404a,cx1278a,COSHVWJCGUMIHF-CIUDSAMLSA-N,cx1278a-cx0404a,NoSynthesisRoute
CN1c2cccc(CO)c2O[C@H](O)[C@H]1Nc1ccc(O)cc1,cx0935a,cx1379g,NFWYJGDOYHNCOW-HOTGVXAUSA-N,cx0935a-cx1379g,NoSynthesisRoute
On1cnc2cccc(Cl)c21,cx1445a,cx0894a,CXRILINLDQBJHL-UHFFFAOYSA-N,cx0894a-cx1445a,NoSynthesisRoute
C[C@H]1c2onc(Cn3ccccc3=O)c2O[C@@]12CC[C@@H]1N[C@H](N)S[C@@H]1C2,cx1410a,cx0316a,OCIZHOWOTDTEMW-CKQAUIEASA-N,cx0316a-cx1410a,NoSynthesisRoute
CN[C@H]1NCCC[C@@]12N[C@H](C(=O)N[C@@H]1CCC(=O)NC1)CS2,cx0353a,cx0300a,HKECIZNSIKPBMT-OAACRXHESA-N,cx0300a-cx0353a,NoSynthesisRoute
Clc1ccc2c3c(nccc13)N=C2,cx1371a,cx1402a,ZYGPPXFTVXWIOA-UHFFFAOYSA-N,cx1371a-cx1402a,NoSynthesisRoute
Cn1nccc1C(=O)NC[C@@H]1CC[C@@]2(NCNN2)S1,cx0892a,cx0281a,ZNHLZZKVXUVQKY-KWQFWETISA-N,cx0892a-cx0281a,NoSynthesisRoute
CNC(=O)c1cccc2c(O)c(C(=O)Nc3ccc(O)cc3)[nH]c12,cx0935a,cx0399f,GRWVSZRVTJQSLK-UHFFFAOYSA-N,cx0399f-cx0935a,NoSynthesisRoute
OC1(O)COc2ccc(-c3cc[nH]n3)cc21,cx0864a,cx1268a,RWFIETVEIISNIP-UHFFFAOYSA-N,cx0864a-cx1268a,NoSynthesisRoute
COC(=O)c1c2ccc[nH]c-2nc1N,cx1338a,cx1278a,BTCQHASCGQHDQB-UHFFFAOYSA-N,cx1278a-cx1338a,NoSynthesisRoute
OC[C@@H]1CCC[C@H]1Nc1snc2nccc(Br)c12,cx1076a,cx0406a,XTDJSPGVMIVFLZ-IONNQARKSA-N,cx1076a-cx0406a,NoSynthesisRoute
N[C@@H](c1nccc(O)n1)[C@H]1CS(=O)(=O)C[C@H]1O,cx0314a,cx1182a,USFGAVIWCWJGDE-SHYZEUOFSA-N,cx1182a-cx0314a,NoSynthesisRoute
CC(C)(C(=O)COc1cccc(F)c1)c1ccn(CCO)c(=O)c1,cx0540a,cx1091a,CNCNOCGXDJIOKP-UHFFFAOYSA-N,cx1091a-cx0540a,NoSynthesisRoute
OCc1ccc2c(c1)[C@@H](Br)CO2,cx0969a,cx1075a,UIWGAWISTYKLEL-QMMMGPOBSA-N,cx0969a-cx1075a,NoSynthesisRoute
Cc1cc(C)c2c(n1)C(CCc1nc(Cn3ccccc3=O)no1)=NC2=O,cx1194a,cx0316a,GSQHXOGHYYYERO-UHFFFAOYSA-N,cx1194a-cx0316a,NoSynthesisRoute
NC(=O)[C@H]1C[C@@H](Cl)[C@]2(CC[C@@H](CO)C2)C[C@H]1N,cx1372a,cx0406a,KXSCDLDOWHFTQS-KNDBQHFLSA-N,cx1372a-cx0406a,NoSynthesisRoute
CCO/C(=N\[C@H]1CCC[C@H]1CO)c1c(C)n[nH]c1C,cx0406a,cx1417a,BMYRXEILJCLAHE-FXPBBYGFSA-N,cx1417a-cx0406a,NoSynthesisRoute
Cc1nc(N)ccc1O[C@@H]1CCC[C@H]1CO,cx0406a,cx1454a,KGYDYSJSBNBVTO-GXSJLCMTSA-N,cx1454a-cx0406a,NoSynthesisRoute
O[C@@H]1Oc2cc(-c3ccn[nH]3)ccc2N1Nc1ccccc1,cx0692a,cx0864d,PPOABDMMRXXBHZ-MRXNPFEDSA-N,cx0864d-cx0692a,NoSynthesisRoute
Cc1c(CCO)c(=O)[nH]n1C(=O)c1ccco1,cx0317a,cx0543a,STZRFKHEOQBQRQ-UHFFFAOYSA-N,cx0317a-cx0543a,NoSynthesisRoute
C[C@@H]1Oc2cc(O)cc(N)c2O1,cx1305a,cx1134a,XXAJPDRXNKHETM-SCSAIBSYSA-N,cx1134a-cx1305a,NoSynthesisRoute
C[C@H](c1ccc(N)nc1)c1nc(Cn2ccccc2=O)no1,cx1454a,cx0316a,DEYCAJGWGSVJCX-SNVBAGLBSA-N,cx0316a-cx1454a,NoSynthesisRoute
Nc1cc2ccccc2c(Cc2cccs2)c1O,cx0892a,cx1431a,USVHVZRVUCRRKV-UHFFFAOYSA-N,cx1431a-cx0892a,NoSynthesisRoute
O=C1CC[C@@H](NC(=O)c2cscn2)CC1=O,cx0300a,cx1131a,SXIIEZDCYAFGNV-ZCFIWIBFSA-N,cx0300a-cx1131a,NoSynthesisRoute
COCC(=O)N[C@H]1c2cc(CO)ccc2O[C@@H]1O,cx0935a,cx0969a,ZDWGNBSGUHYTRW-RYUDHWBXSA-N,cx0969a-cx0935a,NoSynthesisRoute
O=C(N[C@H]1CNC(=O)c2ccc(Cn3cnc4ccccc43)cc21)c1cscn1,cx0620a,cx0300a,BUYREVNXKWTVBD-KRWDZBQOSA-N,cx0300a-cx0620a,NoSynthesisRoute
OCc1cc2c(c(Nc3ccc(O)cc3)c1O)OCC2,cx0935a,cx0969f,XIZQDAMBIPVMJZ-UHFFFAOYSA-N,cx0969f-cx0935a,NoSynthesisRoute
COCc1c(O)cc(N)c2c1OCO2,cx1305a,cx0404a,INMYRFOTVXCURM-UHFFFAOYSA-N,cx1305a-cx0404a,NoSynthesisRoute
Cc1nsc(N[C@@H]2C[C@@]3(CNCC[C@H]3CCNC(=O)c3ccccc3F)C[C@H]2CO)n1,cx0824a,cx0406a,FAIKVXHYCBBUTG-MMQADKFZSA-N,cx0406a-cx0824a,NoSynthesisRoute
NC1=S(CO)c2ccccc2N1,cx1271a,cx0969a,KIKAFJHGAGCWDJ-UHFFFAOYSA-N,cx1271a-cx0969a,NoSynthesisRoute
NC(=O)c1ccc2c(c1)COC2,cx1371a,cx0404a,ZFYCTASOLWEMCR-UHFFFAOYSA-N,cx1371a-cx0404a,NoSynthesisRoute
C[C@@H](C1=NC=c2ccc3c(c21)N=CC=3)C(O)(O)N(C)C,cx0399d,cx0312a,JKHGQSZLADQCPM-VIFPVBQESA-N,cx0312a-cx0399d,NoSynthesisRoute
CC(=O)NC1=CC=C2C=C(C(N)=O)N=C21,cx0544a,cx0399a,SFZFZUPXUOKJBE-UHFFFAOYSA-N,cx0544a-cx0399a,NoSynthesisRoute
NC(=O)N1CCN([C@]2(O)[C@H](O)[C@]23CC[C@]2(CCC[C@@H](F)C2)O3)CC1,cx0540a,cx0543a,WQOLPHFFZSYUNT-DEDQRHPVSA-N,cx0543a-cx0540a,NoSynthesisRoute
COCc1onc2c(N)ncc(C)c12,cx0404a,cx1406a,FJKXTLNFCGXMOJ-UHFFFAOYSA-N,cx0404a-cx1406a,NoSynthesisRoute
Nc1cc(-c2cc[nH]n2)c(Cl)c2c1OCO2,cx1371a,cx0864a,QVQJCSWRXFIMAQ-UHFFFAOYSA-N,cx0864a-cx1371a,NoSynthesisRoute
O=C(Nc1ccccc1)c1c(CO)cc2c(c1O)OCC2,cx0692a,cx0969f,HZMWNEMTDOMFDH-UHFFFAOYSA-N,cx0692a-cx0969f,NoSynthesisRoute
O=C1CC[C@@H](NC(=O)[C@@H]2CS[C@@]3(N2)C2=C(CC[C@H]3CO)OCC2)CN1,cx0969a,cx0300a,GYEAQTBJGVOZJU-IANATYFASA-N,cx0300a-cx0969a,NoSynthesisRoute
Nc1ccc(S(=O)(=O)N[C@H]2CC3=C(CN2)NC[C@H]3N)cc1,cx0289a,cx1431d,QBZHSVOZXRMXDY-YPMHNXCESA-N,cx0289a-cx1431d,NoSynthesisRoute
Cn1cc(C(N)=O)c([C@@](C)(F)c2nc(Cn3ccccc3=O)no2)n1,cx0394a,cx0316a,MDQYSLGJFFKBIH-OAHLLOKOSA-N,cx0316a-cx0394a,NoSynthesisRoute
CC(=O)N1c2cccc(F)c2O[C@H](C)[C@H]1c1cccc(O)n1,cx1118a,cx0505a,KCUYLFKBJCQPIS-PSLIRLAXSA-N,cx0505a-cx1118a,NoSynthesisRoute
CNCc1cnn(-c2cc(F)ccc2O)c1O,cx0632a,cx0540a,GONDGHFORCNQDL-UHFFFAOYSA-N,cx0632a-cx0540a,NoSynthesisRoute
BrN1COc2ccc(-c3cc[nH]n3)cc21,cx0864a,cx1075a,VLGXEHQBOHMDHJ-UHFFFAOYSA-N,cx0864a-cx1075a,NoSynthesisRoute
CC1=NN(c2ccccc2)C(=O)[C@H]1C1=NC(=O)C(CCO)=C1C,cx0317a,cx0760a,NFPYWDQWVOHNLT-CQSZACIVSA-N,cx0760a-cx0317a,NoSynthesisRoute
O=C1CC[C@@H](NC(=O)c2csc3c(cc(Cl)c4ncnc43)n2)CN1,cx0300a,cx0894a,NMGWUATWTFMOJU-SSDOTTSWSA-N,cx0894a-cx0300a,NoSynthesisRoute
Cc1c(N)nn2cccc(NCc3cccs3)c12,cx0892a,cx1203a,DIXNXVWQGJPPGN-UHFFFAOYSA-N,cx0892a-cx1203a_copy,NoSynthesisRoute
CN(CC(N)=O)c1snc(CCc2nc(Cn3ccccc3=O)no2)c1C#N,cx0553a,cx0316a,GPZJEEYGFUVZKG-UHFFFAOYSA-N,cx0553a-cx0316a,NoSynthesisRoute
CN1COc2cc(O)c(-c3cc[nH]n3)cc21,cx0864a,cx1316a,NVQMRRWHILUSNV-UHFFFAOYSA-N,cx0864a-cx1316a,NoSynthesisRoute
O=C1C=CC2=NC(c3nccs3)=NC2=N1,cx1135b,cx0281a,XFIKRGMSJGTWNE-UHFFFAOYSA-N,CHIKVMac-DLS-JA007,NoSynthesisRoute
COCC(=O)N[C@H]1CCCC[C@]12NCCc1ccccc12,cx0692a,cx0353a,YJPQHYJPQLYRNW-DOTOQJQBSA-N,cx0692a-cx0353a,NoSynthesisRoute
Nc1cc([S@](=O)Nc2ccccn2)c2nc[nH]c2c1Cl,cx0289a,cx0894a,WUFYJWSZDFLHKX-FQEVSTJZSA-N,cx0894a-cx0289a,NoSynthesisRoute
C[C@@H]1C[C@H](C)N2[C@@H](F)CN3NC(=O)[C@@H]1[C@@H]32,cx1194a,cx0394a,UZLDEAQWTXRPNY-CSEVWPSDSA-N,cx1194a-cx0394a,NoSynthesisRoute
NC(=O)[C@@H]1CCN2C3=C(CC=CO3)N[C@@H]2C1,cx0441a,cx1183a,WSUNYLIUERFGKX-APPZFPTMSA-N,cx0441a-cx1183a,NoSynthesisRoute
C[C@H]1CCCc2ccc3cc[nH]c3c2[C@H]1O,cx1338a,cx0399a,YAQMPFPCOKONTE-XPTSAGLGSA-N,cx0399a-cx1338a,NoSynthesisRoute
COC(=O)c1c2ccc[nH]c-2nc1N,cx1278a,cx1203a,BTCQHASCGQHDQB-UHFFFAOYSA-N,cx1278a-cx1203a,NoSynthesisRoute
Cc1n[nH]c(C)c1-c1nc(C(=O)N[C@@H]2CC[C@H](O)NC2)cs1,cx0300a,cx1417a,WKWDUETUWZEBTK-KOLCDFICSA-N,cx1417a-cx0300a,NoSynthesisRoute
NNCc1cccc(N[C@H](N)S)c1,cx1271a,cx0756a,DNRXHWCVQSPAFQ-QMMMGPOBSA-N,cx1271a-cx0756a,NoSynthesisRoute
NC(=O)c1ccc(Cl)c2ccn(O)c12,cx1372a,cx1268a,IAFCMWMCCOCPMS-UHFFFAOYSA-N,cx1372a-cx1268a,NoSynthesisRoute
CC1=CNc2ccc(O)c3cccc1c23,cx1440a,cx1316a,JBBKGZXCROZOLT-UHFFFAOYSA-N,cx1440a-cx1316a,NoSynthesisRoute
COCC(=O)N[C@H]1CC[C@@H](O)C[C@]12CCCC[C@@H]2CO,cx0935a,cx1379a,NOTHHIFKOUUDHK-CXTNEJHOSA-N,cx0935a-cx1379a,NoSynthesisRoute
CCc1nc(CN2CC[C@@]3(CCN(C(=O)c4cccc(F)c4)C3)CC2=O)no1,cx0585a,cx0316a,BPLFMCKMVLSVDW-HXUWFJFHSA-N,cx0316a-cx0585a,NoSynthesisRoute
c1ccc2c(c1)ccn1nccc21,cx1440a,cx0353a,VXHPZUDEECSUNB-UHFFFAOYSA-N,cx0353a-cx1440a,NoSynthesisRoute
O=C1C[C@@]2(CNC(=O)c3ccccc3F)c3ccncc3[C@@H](c3cscn3)N[C@H]2CN1,cx0824a,cx0300a,OGZPWQWXXRXWGZ-RCZSKKKRSA-N,cx0824a-cx0300a,NoSynthesisRoute
C#Cc1c(C)nc(N)c(C)c1CC(N)=O,cx0553a,cx1454a,BMGQHBWGLDDFQB-UHFFFAOYSA-N,cx1454a-cx0553a,NoSynthesisRoute
CNC(=O)c1cn(C)c2c(Cl)c3nc[nH]c3cc12,cx0894e,cx0270a,WXNCMUCDEAHMII-UHFFFAOYSA-N,cx0270a-cx0894e,NoSynthesisRoute
Nc1ccc(S(=O)(=O)Nc2[nH]c(N)c3ccccc23)cc1,cx0289a,cx1271d,OROZIPSUGMATNY-UHFFFAOYSA-N,cx0289a-cx1271d,NoSynthesisRoute
COCC(=O)N[C@H]1CC[C@@H](O)C[C@]12CCC[C@H](c1ccn[nH]1)C2,cx0864a,cx0935a,JOMKNPKJLUDQRQ-UICACZKSSA-N,cx0935a-cx0864a,NoSynthesisRoute
Cn1cc(C(N)=O)c(CCc2nc(Cn3ccccc3=O)no2)n1,cx0394a,cx0316a,UOYWXIITSWPSHI-UHFFFAOYSA-N,CHIKVMac-DLS-DF004,NoSynthesisRoute
